"country","iso2c","iso3c","year","poblacion_total","crecimiento_poblacion","tasa_natalidad","tasa_mortalidad","migracion_neta","tasa_fecundidad","esperanza_vida","mortalidad_niniez","poblacion_0_14","poblacion_15_64","poblacion_65_mas","dependencia_total","dependencia_joven","dependencia_mayores"
"Spain","ES","ESP",1961,30739250,0.92901553460921,21.2,8.3,-46517,2.77,69.4804878048781,52,27.4095841060166,64.2599937038199,8.3304221901635,55.6178188268742,42.6541990498678,12.9636197770065
"Spain","ES","ESP",1962,31023366,0.920032286529714,21.1,8.7,-45211,2.8,69.5190243902439,49.4,27.4334586266145,64.1097498847096,8.45679148867584,55.982512345265,42.7913979796472,13.1911143656177
"Spain","ES","ESP",1963,31296651,0.877043251659206,21.4,8.8,-44446,2.88,69.6812195121951,46.9,27.3972176455912,64.0738634409935,8.5289189134153,56.0698805109846,42.758806886141,13.3110736248436
"Spain","ES","ESP",1964,31609195,0.993696426233108,22,8.4,-41461,3.01,70.399756097561,44.5,27.4154941000033,64.0038396947752,8.58066620522154,56.2406301427634,42.8341407866246,13.4064893561388
"Spain","ES","ESP",1965,31954292,1.08584474209375,21.1,8.4,-42476,2.94,70.8092682926829,42.3,27.5264936873939,63.7337083738028,8.73979793880339,56.9028445193636,43.1898507560891,13.7129937632745
"Spain","ES","ESP",1966,32283194,1.02402785233795,20.7,8.4,-41467,2.91,71.0551219512195,40.3,27.6449148897347,63.41111796001,8.94396715025533,57.7010535908758,43.5963244635104,14.1047291273654
"Spain","ES","ESP",1967,32682947,1.23066581815604,20.7,8.4,-42344,2.94,71.2529268292683,38.2,27.7363203501395,63.1646144106303,9.09906523923028,58.3164927320245,43.9111701735759,14.4053225584487
"Spain","ES","ESP",1968,33113134,1.30765578581186,20.1,8.4,-46088,2.87,71.5378048780488,36.1,27.7799488247262,62.9457812792691,9.27426989600475,58.8668811462434,44.1331398197053,14.7337413265381
"Spain","ES","ESP",1969,33441054,0.985430559578259,19.9,8.9,-49956,2.86,71.0575609756098,33.9,27.8364150654916,62.7370002249907,9.42658470951768,59.3955723555397,44.3700150534459,15.0255573020938
"Spain","ES","ESP",1970,33814531,1.11063144876766,19.5,8.3,-60580,2.84,72.0273170731707,31.6,27.8625386071391,62.5314101440455,9.60605124881542,59.9196309354641,44.5576700698988,15.3619608655652
"Spain","ES","ESP",1971,34224490,1.20508483293956,19.6,8.8,7363,2.9,71.630243902439,29.3,27.8433862058384,62.379148256701,9.77746553746063,60.3099825307527,44.6357279013085,15.6742546294442
"Spain","ES","ESP",1972,34604469,1.10413658971046,19.4,8.1,7935,2.87,72.8180487804878,27.2,27.7737983183317,62.3061938831438,9.92000779852453,60.4976835661579,44.5763009486507,15.9213826175072
"Spain","ES","ESP",1973,34988947,1.1049376041377,19.2,8.5,8624,2.84,72.6107317073171,25.2,27.6548437464725,62.2692221285637,10.0759341249638,60.5929818433591,44.4117399343518,16.1812419090073
"Spain","ES","ESP",1974,35373335,1.09260761038069,19.5,8.3,105838,2.88,72.969756097561,23.4,27.5134314222441,62.3156414309282,10.1709271468278,60.4733513008435,44.1517242499372,16.3216270509063
"Spain","ES","ESP",1975,35757900,1.08129360308283,18.7,8.3,-218,2.77,73.3187804878049,21.7,27.3444774995615,62.3680692542183,10.2874532462202,60.338455975541,43.8437133769226,16.4947425986184
"Spain","ES","ESP",1976,36137812,1.05685172472306,18.7,8.3,2804,2.77,73.6426829268293,20.2,27.194766847227,62.3562359092754,10.4489972434977,60.3688867475491,43.6119461019636,16.7569406455855
"Spain","ES","ESP",1977,36511638,1.02913180859153,18,8.1,-1332,2.65,74.1319512195122,18.7,27.0307816937688,62.365302217953,10.6039160882782,60.3455693929447,43.3426613000373,17.0029080929074
"Spain","ES","ESP",1978,36864898,0.96287655038845,17.3,8.1,-2504,2.54,74.2956097560976,17.3,26.778392366827,62.4522579514533,10.7693496817197,60.1223144147271,42.8781814815219,17.2441329332052
"Spain","ES","ESP",1979,37191330,0.88158450134584,16.2,7.8,-5929,2.37,74.8187804878049,16.1,26.4140883897952,62.6476433992166,10.9382682109882,59.622922250837,42.1629407199093,17.4599815309278
"Spain","ES","ESP",1980,37491165,0.802963561910836,15.2,7.7,20166,2.22,75.3492682926829,14.9,26.0028404346798,62.8807004780505,11.1164590872698,59.0313084272903,41.3526581687738,17.6786502585165
"Spain","ES","ESP",1981,37758631,0.710878010512537,14.1,7.8,2563,2.04,75.5285365853659,13.8,25.4962904340703,63.2259759201353,11.2777336457944,58.1628409991546,40.3256563629362,17.8371846362183
"Spain","ES","ESP",1982,37986012,0.600390137240396,13.6,7.5,-7384,1.94,76.1341463414634,13,24.9113299734541,63.6590963440408,11.4295736825051,57.0867411653313,39.1323972919521,17.9543438733792
"Spain","ES","ESP",1983,38171525,0.487183210573659,12.7,7.9,1241,1.8,75.9090243902439,12.2,24.352298069152,64.0639065800537,11.5837953507943,56.0941344564138,38.0125107497004,18.0816237067134
"Spain","ES","ESP",1984,38330364,0.415255702373565,12.3,7.8,2754,1.73,76.2953658536586,11.7,23.7672277314208,64.483796512948,11.7489757556312,55.0777173521215,36.8576746396005,18.220042712521
"Spain","ES","ESP",1985,38469512,0.362365564916491,11.9,8.1,-589,1.64,76.259512195122,11.1,23.1565417152434,64.8867677352285,11.9566905495281,54.1146302866605,35.6876193507129,18.4270109359476
"Spain","ES","ESP",1986,38584624,0.298782366814399,11.4,8,-13540,1.56,76.5104878048781,10.7,22.5305035427843,65.2480500193807,12.221446437835,53.2612837410973,34.5305386560024,18.7307450850949
"Spain","ES","ESP",1987,38684815,0.259329063201825,11,8,-12681,1.49,76.7280487804878,10.3,21.8774526964944,65.5853656681516,12.537181635354,52.4730409938649,33.3572170149297,19.1158239789352
"Spain","ES","ESP",1988,38766939,0.212064999269184,10.8,8.2,-17663,1.45,76.7470731707317,9.9,21.2073898965154,65.9224788577116,12.870131245773,51.6933258314141,32.1701954290648,19.5231304023493
"Spain","ES","ESP",1989,38827764,0.156776197618463,10.5,8.4,-25892,1.4,76.8136585365854,9.5,20.5164957353155,66.2771298393532,13.2063744253314,50.8816104560485,30.9556201447365,19.925990311312
"Spain","ES","ESP",1990,38867322,0.101828842607043,10.3,8.6,-30684,1.36,76.8375609756098,9.2,19.7896345294186,66.6658897270995,13.5444757434819,50.0017482756329,29.6847978673044,20.3169504083285
"Spain","ES","ESP",1991,38966376,0.254527424551043,10.2,8.7,122841,1.33,76.9712195121951,8.8,19.0774322142024,67.0651500612511,13.8574177245465,49.1087370118976,28.4461183523777,20.6626186595198
"Spain","ES","ESP",1992,39157685,0.48975790543999,10.1,8.5,177544,1.31,77.41,8.3,18.4250833113576,67.4328488571973,14.1420678314451,48.2956748236508,27.3236013150923,20.9720735085585
"Spain","ES","ESP",1993,39361262,0.518543520866421,9.8,8.6,160907,1.26,77.5465853658537,7.9,17.8073035147794,67.7634414996552,14.4292549855654,47.5721965199723,26.2786274696086,21.2935690503636
"Spain","ES","ESP",1994,39549108,0.476100555169168,9.4,8.6,160407,1.19,77.9014634146342,7.4,17.207539313762,68.0606142387335,14.7318464475045,46.9278531933622,25.2826669593154,21.6451862340468
"Spain","ES","ESP",1995,39724050,0.441365749537872,9.1,8.7,162434,1.16,77.9807317073171,6.9,16.6246714097882,68.3188171595013,15.0565114307106,46.372558076106,24.3339576132519,22.0386004628542
"Spain","ES","ESP",1996,39889852,0.416515798212804,9.1,8.8,162704,1.14,78.1204878048781,6.5,16.1133858344427,68.504615559883,15.3819986056743,45.9755642805361,23.5216067691342,22.453957511402
"Spain","ES","ESP",1997,40057389,0.41911951720212,9.2,8.7,165345,1.15,78.6041463414634,6.1,15.6938113675831,68.6037622960281,15.7024263363888,45.7646000804341,22.876021128293,22.8885789521411
"Spain","ES","ESP",1998,40223509,0.413847481113965,9.1,9,182926,1.13,78.6658536585366,5.8,15.330549939502,68.6462272284242,16.0232228320738,45.6744280848841,22.3326910141457,23.3417370707384
"Spain","ES","ESP",1999,40386875,0.405323025522848,9.4,9.2,178559,1.17,78.7170731707317,5.6,15.0385455132257,68.6616201441328,16.2998343426415,45.641773652292,21.9024053955742,23.7393682567178
"Spain","ES","ESP",2000,40567864,0.447137014535835,9.8,8.9,176269,1.22,78.9658536585366,5.4,14.815829862741,68.6362927226721,16.547877414587,45.6955141735045,21.5860005420144,24.1095136314901
"Spain","ES","ESP",2001,40850412,0.694068084334464,9.9,8.8,181307,1.23,79.3682926829268,5.3,14.6602318145479,68.5294573061061,16.8103108793461,45.9226479881846,21.3925981206496,24.530049867535
"Spain","ES","ESP",2002,41431558,1.41259540475782,10.1,8.8,737880,1.25,79.5682926829268,5.1,14.5742351751512,68.5073493192691,16.9184155055798,45.9697413251327,21.2739744434668,24.6957668816659
"Spain","ES","ESP",2003,42187645,1.80845446818345,10.4,9.1,658428,1.3,79.619512195122,5,14.5448266635092,68.6408219553399,16.8143513811509,45.6859025843891,21.1897625611982,24.4961400231909
"Spain","ES","ESP",2004,42921895,1.7254663034483,10.6,8.6,661158,1.31,79.8707317073171,4.9,14.5192818634978,68.8607143645203,16.6200037719819,45.2206844125812,21.0850002862332,24.1356841263481
"Spain","ES","ESP",2005,43653155,1.68934904712031,10.6,8.8,629803,1.33,80.1707317073171,4.7,14.5057421269898,68.9483832449344,16.5458746280758,45.0360312903004,21.0385523759022,23.9974789143982
"Spain","ES","ESP",2006,44397319,1.69035255626114,10.8,8.3,659720,1.36,80.8219512195122,4.5,14.543139992054,68.9209409974025,16.5359190105435,45.0937823233074,21.1011910500489,23.9925912732585
"Spain","ES","ESP",2007,45226803,1.85108130845179,10.9,8.5,772317,1.38,80.8731707317073,4.4,14.5948435805937,68.9728223213613,16.4323340980449,44.9846416971974,21.1602816446467,23.8243600525508
"Spain","ES","ESP",2008,45954106,1.59533049906372,11.3,8.4,434135,1.45,81.1756097560976,4.2,14.6850331352484,68.8710842643333,16.4438826004183,45.1988178744217,21.3224954865212,23.8763223879005
"Spain","ES","ESP",2009,46362946,0.88573598057307,10.6,8.3,129557,1.38,81.4756097560976,4,14.8118630613198,68.5636733899172,16.624463548763,45.8498278241454,21.6030765437385,24.2467512804068
"Spain","ES","ESP",2010,46576897,0.460408305051304,10.4,8.2,69406,1.37,81.6268292682927,3.8,14.9215556038969,68.1859842081222,16.8924601879808,46.6577070829496,21.8836121484751,24.7740949344745
"Spain","ES","ESP",2011,46742697,0.355338396471428,10.1,8.3,60761,1.34,82.4756097560976,3.7,15.0089538303643,67.8223406857849,17.1687054838507,47.4440422369686,22.1298088186322,25.3142334183364
